t,S_a,I_a,S_h,I_h,R_h
2.122122122122122164e+04,4.988910654012033774e+04,7.439312595987131544e+02,3.403088382048897329e+05,4.785733551542352160e+01,5.458752010354340746e+04
2.132132132132132392e+04,4.988909764609314152e+04,7.440286679414571154e+02,3.411297720295234467e+05,4.789904693911613975e+01,5.485261171892737912e+04
2.142142142142142256e+04,4.988908903080088203e+04,7.441230336629687372e+02,3.419467644554767758e+05,4.794044048048186113e+01,5.511708294001957256e+04
2.152152152152152485e+04,4.988908068554131023e+04,7.442144511708604568e+02,3.427598364570992999e+05,4.798152024042678221e+01,5.538093303705925064e+04
2.162162162162162349e+04,4.988907260182870959e+04,7.443030124785120734e+02,3.435690088641386828e+05,4.802229024721255968e+01,5.564416131868406228e+04
2.172172172172172213e+04,4.988906477145838289e+04,7.443888066171168703e+02,3.443743023519959534e+05,4.806275444361070015e+01,5.590676713747329632e+04
2.182182182182182441e+04,4.988905718652073847e+04,7.444719194926894943e+02,3.451757374397151871e+05,4.810291668400880383e+01,5.616874989119810925e+04
2.192192192192192306e+04,4.988904983935793280e+04,7.445524343143531496e+02,3.459733344980229158e+05,4.814278074399896923e+01,5.643010901852076495e+04
2.202202202202202534e+04,4.988904272249439236e+04,7.446304322776120443e+02,3.467671137618460343e+05,4.818235033555880875e+01,5.669084399221913191e+04
2.212212212212212398e+04,4.988903582870413084e+04,7.447059919139262547e+02,3.475570953194102040e+05,4.822162909298051403e+01,5.695095432535549480e+04
2.222222222222222263e+04,4.988902915101557301e+04,7.447791890418874345e+02,3.483432991118642967e+05,4.826062057191515464e+01,5.721043957162006700e+04
2.232232232232232491e+04,4.988902268269029446e+04,7.448500969829037786e+02,3.491257449375992874e+05,4.829932825432319987e+01,5.746929932308942080e+04
2.242242242242242355e+04,4.988901641714230209e+04,7.449187873672789237e+02,3.499044524669942330e+05,4.833775556649933236e+01,5.772753320223344781e+04
2.252252252252252583e+04,4.988901034800749767e+04,7.449853294478095904e+02,3.506794412308033789e+05,4.837590586404639481e+01,5.798514086846166174e+04
2.262262262262262448e+04,4.988900446914813074e+04,7.450497900637392377e+02,3.514507306200269377e+05,4.841378243136396975e+01,5.824212201832712890e+04
2.272272272272272312e+04,4.988899877464202291e+04,7.451122337511803835e+02,3.522183398883710033e+05,4.845138848426011435e+01,5.849847638431083033e+04
2.282282282282282540e+04,4.988899325868020242e+04,7.451727237541155091e+02,3.529822881706201006e+05,4.848872719221608207e+01,5.875420372485020926e+04
2.292292292292292404e+04,4.988898791565668944e+04,7.452313211471674776e+02,3.537425944676466170e+05,4.852580165944487334e+01,5.900930383272578911e+04
2.302302302302302633e+04,4.988898274013249465e+04,7.452880851939880813e+02,3.544992776532522403e+05,4.856261493291423648e+01,5.926377653143474890e+04
2.312312312312312497e+04,4.988897772693583829e+04,7.453430723389974446e+02,3.552523564568017027e+05,4.859916997896150548e+01,5.951762168485744769e+04
2.322322322322322361e+04,4.988897287094283092e+04,7.453963384238369372e+02,3.560018495030134218e+05,4.863546973498264947e+01,5.977083917555433436e+04
2.332332332332332589e+04,4.988896816721230425e+04,7.454479373290929516e+02,3.567477752883893554e+05,4.867151707789843584e+01,6.002342891783746745e+04
2.342342342342342454e+04,4.988896361095517932e+04,7.454979212870042602e+02,3.574901521872623125e+05,4.870731483152255947e+01,6.027539085458678892e+04
2.352352352352352682e+04,4.988895919756407966e+04,7.455463405863080197e+02,3.582289984470385243e+05,4.874286576060040233e+01,6.052672495998680824e+04
2.362362362362362546e+04,4.988895492260471656e+04,7.455932436623852482e+02,3.589643321903013857e+05,4.877817257295293984e+01,6.077743123850750271e+04
2.372372372372372411e+04,4.988895078169970657e+04,7.456386782691911321e+02,3.596961714361718623e+05,4.881323794464157828e+01,6.102750971334350470e+04
2.382382382382382639e+04,4.988894677063580457e+04,7.456826904033075607e+02,3.604245340816560783e+05,4.884806449729699551e+01,6.127696043675861438e+04
2.392392392392392503e+04,4.988894288532531209e+04,7.457253246958244972e+02,3.611494379091202281e+05,4.888265480668419372e+01,6.152578348612641275e+04
